product_id,name,category,price,stock_quantity
1,Premium Seat Cover,Automotive,0.0,216
2,Advanced Lipstick,Beauty,0.0,87
3,Advanced Remote Car,Toys,0.0,80
4,Pro Adapter,Electronics,0.0,274
5,Classic Running Shoes,Sports,0.0,490
6,Deluxe Workbook,Books,0.0,354
7,Classic Monitor,Electronics,0.0,183
8,Advanced Tape,Office,0.0,230
9,Eco Adapter,Electronics,0.0,91
10,Advanced Sneakers,Clothing,0.0,419
11,Compact Seeds,Garden,5.99,132
12,Portable Stapler,Office,479.5,139
13,Portable Jump Rope,Sports,372.54,142
14,Premium Water Bottle,Sports,392.49,355
15,Compact Scarf,Clothing,60.26,241
16,Premium Watering Can,Garden,318.84,488
17,Pro Serum,Beauty,175.15,330
18,Advanced Plant Pot,Garden,55.96,333
19,Advanced Shampoo,Beauty,451.12,334
20,Classic Shovel,Garden,5.73,481
21,Premium Air Freshener,Automotive,240.6,479
22,Ultra Tape,Office,317.25,21
23,Premium Dash Cam,Automotive,20.39,322
24,Premium Solar Light,Garden,322.11,443
25,Compact Jeans,Clothing,204.05,270
26,Advanced Scale,Home & Kitchen,277.38,333
27,Deluxe Mask,Beauty,166.49,484
28,Premium Tablet,Electronics,77.92,259
29,Smart Binder,Office,96.01,331
30,Deluxe Air Freshener,Automotive,42.25,276
31,Eco Adapter,Electronics,344.28,368
32,Eco Pen Set,Office,89.89,241
33,Eco Board Game,Toys,12.7,16
34,Ultra Plant Pot,Garden,123.85,61
35,Premium Phone Mount,Automotive,497.16,215
36,Deluxe Resistance Band,Sports,138.32,166
37,Eco Stapler,Office,322.75,171
38,Compact Plant Pot,Garden,45.21,5
39,Ultra Lipstick,Beauty,85.34,448
40,Pro Biography,Books,300.35,299
41,Ultra Hoodie,Clothing,231.97,127
42,Ultra Cable,Electronics,455.19,291
43,Eco Car Mat,Automotive,128.71,192
44,Premium Phone Mount,Automotive,459.55,150
45,Eco Backpack,Sports,70.81,391
46,Premium Foundation,Beauty,180.66,357
47,Deluxe Card Game,Toys,378.18,358
48,Compact Shovel,Garden,390.55,142
49,Pro Speaker,Electronics,414.4,139
50,Portable Gloves,Garden,63.83,447
51,Compact Scissors,Office,128.14,189
52,Eco Toner,Beauty,80.37,101
53,Pro Scale,Home & Kitchen,24.03,206
54,Advanced Tool Kit,Automotive,485.23,208
55,Advanced Serum,Beauty,69.03,297
56,Advanced Sunscreen,Beauty,484.06,437
57,Ultra Blender,Home & Kitchen,475.9,95
58,Portable Tape,Office,96.34,492
59,Advanced Kite,Toys,68.76,196
60,Eco Action Figure,Toys,483.42,485
61,Advanced Tape,Office,92.58,456
62,Eco Workbook,Books,492.71,465
63,Ultra Binder,Office,457.83,308
64,Pro Seeds,Garden,163.71,283
65,Eco Seat Cover,Automotive,259.81,363
66,Compact Tool Kit,Automotive,97.71,469
67,Premium Remote Car,Toys,65.1,130
68,Ultra Plant Pot,Garden,264.01,443
69,Advanced Conditioner,Beauty,52.34,102
70,Portable Desk Organizer,Office,488.14,306
71,Ultra Jeans,Clothing,204.21,15
72,Classic Monitor,Electronics,152.26,334
73,Eco Phone Mount,Automotive,420.84,370
74,Deluxe Hoodie,Clothing,427.19,445
75,Advanced Serum,Beauty,112.77,60
76,Pro Cable,Electronics,406.71,253
77,Ultra Dictionary,Books,237.69,16
78,Advanced Highlighter,Office,220.22,167
79,Deluxe Board Game,Toys,372.43,341
80,Deluxe Blender,Home & Kitchen,168.11,496
81,Premium Lamp,Home & Kitchen,95.41,172
82,Premium Foam Roller,Sports,466.58,218
83,Advanced Action Figure,Toys,313.08,133
84,Advanced Watering Can,Garden,66.93,480
85,Portable Notebook,Office,326.27,438
86,Eco Dictionary,Books,70.2,2
87,Compact Sneakers,Clothing,126.77,478
88,Compact Adapter,Electronics,207.2,51
89,Eco Rake,Garden,169.94,245
90,Deluxe Blender,Home & Kitchen,158.26,407
91,Compact Lipstick,Beauty,64.66,83
92,Pro Guide,Books,330.04,246
93,Smart Tape,Office,52.98,26
94,Compact Wiper Blade,Automotive,102.24,86
95,Compact Sneakers,Clothing,35.74,214
96,Advanced Jeans,Clothing,483.17,75
97,Advanced Workbook,Books,300.82,36
98,Pro Highlighter,Office,244.72,107
99,Premium Dash Cam,Automotive,152.64,94
100,Deluxe Lipstick,Beauty,424.08,146
101,Advanced Plant Pot,Garden,390.97,252
102,Premium Play-Doh,Toys,376.15,273
103,Ultra Doll,Toys,161.03,33
104,Compact Speaker,Electronics,164.07,398
105,Classic Scissors,Office,316.79,500
106,Smart Hose,Garden,244.24,122
107,Portable Pillow,Home & Kitchen,176.82,137
108,Eco Journal,Books,485.94,18
109,Classic Highlighter,Office,398.42,260
110,Smart Webcam,Electronics,274.58,40
111,Smart Cap,Clothing,133.98,367
112,Eco Calendar,Office,128.19,341
113,Eco T-Shirt,Clothing,325.07,420
114,Premium Car Mat,Automotive,146.1,300
115,Premium Resistance Band,Sports,162.87,159
116,Portable Dress,Clothing,492.43,389
117,Advanced Jump Rope,Sports,79.06,41
118,Premium Seeds,Garden,296.34,201
